customer_id,age,tenure_months,region,gender,plan_tier,num_products,primary_product,days_since_last_login,login_frequency_30d,feature_adoption_rate,product_changes_6m,mobile_app_user,monthly_spend_avg,monthly_spend_current,spend_trend,spend_volatility,num_txns_6m,sentiment_score,sentiment_trend,nps_score,complaint_count_6m,support_interactions_6m,escalated_support,contract_type,discount_applied,auto_renewal_enabled,referral_source,payment_failures_6m,churn
0,48,1,APAC,Female,Premium,6,Illustrator,8,9,0.4148,1,0,166.47,191.35,1,0.186,35,79.0,0,14,0,3,0,annual,0,1,Organic,0,0
1,40,17,EU,Male,Basic,1,Photoshop,9,8,0.3047,0,0,225.81,191.79,-1,0.1302,29,95.3,-1,6,1,3,0,annual,0,1,Social,0,0
2,51,88,EU,Non-binary,Standard,3,Photoshop,0,13,0.2186,0,1,397.55,372.53,0,0.4343,22,51.0,1,32,2,1,0,annual,0,1,Paid,0,0
3,63,106,US,Female,Standard,6,InDesign,21,12,0.5493,2,1,181.87,134.89,-1,0.3022,30,70.7,0,-24,1,3,0,annual,1,0,Social,0,0
4,38,1,APAC,Male,Standard,1,Premiere,1,14,0.5547,0,1,144.81,149.53,0,0.2351,33,69.2,1,-48,0,2,1,annual,0,1,Social,2,1
5,38,4,LATAM,Female,Premium,1,Audition,8,7,0.6765,0,1,213.31,214.89,0,0.1361,32,72.4,1,-35,0,1,0,annual,0,1,Paid,0,0
6,64,1,EU,Female,Standard,6,Audition,6,18,0.334,2,1,98.85,102.83,0,0.1569,33,36.3,1,-35,2,3,0,annual,0,1,Organic,1,0
7,52,73,US,Male,Basic,3,InDesign,1,14,0.0806,3,0,126.98,152.18,1,0.5275,28,70.4,0,55,1,0,0,annual,0,1,Organic,0,0
8,35,2,EU,Female,Basic,1,Audition,15,7,0.1944,0,0,127.5,127.25,0,0.2254,26,43.3,1,3,1,1,1,annual,0,1,Organic,0,1
9,49,4,US,Male,Standard,1,Photoshop,3,10,0.0891,3,0,15.24,13.06,-1,0.1149,41,78.2,-1,-7,1,2,0,annual,0,1,Paid,0,1
10,35,9,EU,Male,Premium,1,InDesign,3,9,0.0534,1,0,95.08,94.1,0,0.114,24,38.9,0,73,2,1,0,annual,0,1,Paid,0,0
11,35,89,EU,Male,Basic,4,Photoshop,2,10,0.3571,0,1,28.19,31.71,1,0.1728,25,73.2,1,-36,0,4,0,monthly,0,1,Paid,0,0
12,45,41,US,Female,Premium,3,Photoshop,3,13,0.4518,0,1,67.76,58.67,-1,0.2804,34,68.2,-1,91,0,2,0,annual,0,1,Referral,1,0
13,18,34,US,Male,Premium,3,After Effects,15,9,0.4049,1,1,789.96,800.01,0,0.4772,34,43.4,1,-19,2,5,0,annual,0,1,Social,0,0
14,18,55,APAC,Female,Basic,1,Photoshop,3,11,0.3639,0,0,196.26,173.83,-1,0.1837,40,76.5,-1,-44,2,1,0,annual,0,0,Paid,0,1
15,34,42,US,Female,Standard,3,After Effects,5,6,0.3434,0,0,13.15,15.08,1,0.2338,29,42.6,1,-77,1,4,1,annual,1,1,Paid,0,1
16,27,49,EU,Female,Standard,4,Audition,2,12,0.2246,2,1,55.73,55.04,0,0.0923,19,70.4,1,-33,2,3,0,annual,0,0,Organic,0,0
17,46,2,US,Female,Basic,2,Photoshop,20,10,0.3656,1,0,118.08,96.0,-1,0.2009,37,83.5,0,-36,0,1,0,annual,0,1,Organic,0,0
18,29,32,LATAM,Non-binary,Standard,5,InDesign,9,5,0.0799,0,1,65.68,74.54,1,0.1565,27,75.1,1,31,0,2,0,monthly,1,1,Paid,0,0
